conf,listing_nickname,booked,rev,status,source,year,month,BT,rev_mo,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
abce4x-yyxtz3,dummy,2018-01-31,0,status,source,2018,1,1,2018-01-01,NA,NA,NA,NA,NA,NA,NA
HMWD9EY44Q,CR109,2018-09-21,165.87,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMWD9EY44Q,CR109,2018-09-22,165.87,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMWD9EY44Q,CR109,2018-09-23,165.87,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMJBECB8QD,CR109,2018-09-17,142.91333333333333,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMJBECB8QD,CR109,2018-09-18,142.91333333333333,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMJBECB8QD,CR109,2018-09-19,142.91333333333333,confirmed,Airbnb,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMTTMRBD8T,CR109,2018-10-05,178.15666666666667,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMTTMRBD8T,CR109,2018-10-06,178.15666666666667,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMTTMRBD8T,CR109,2018-10-07,178.15666666666667,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMTTMRBD8T,CR109,2018-10-08,178.15666666666667,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMTTMRBD8T,CR109,2018-10-09,178.15666666666667,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
HMTTMRBD8T,CR109,2018-10-10,178.15666666666667,confirmed,Airbnb,2018,10,1,2018-10-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
rEBPw0L,CR109,2018-12-10,167.6275,reserved,manual,2018,12,1,2018-12-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
rEBPw0L,CR109,2018-12-11,167.6275,reserved,manual,2018,12,1,2018-12-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
rEBPw0L,CR109,2018-12-12,167.6275,reserved,manual,2018,12,1,2018-12-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
rEBPw0L,CR109,2018-12-13,167.6275,reserved,manual,2018,12,1,2018-12-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
RU-A3wmAl,CR109,2018-09-10,203.795,confirmed,Expedia,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
RU-A3wmAl,CR109,2018-09-11,203.795,confirmed,Expedia,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
RU-A3wmAl,CR109,2018-09-12,203.795,confirmed,Expedia,2018,9,1,2018-09-01,chroma,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA
