listing_nickname,launch_date,end_date,building,neighborhood,pdlaunch_date,pdend_date
C703,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove,capitol hill,2017-07-01T07:00:00Z,2018-09-01T07:00:00Z
C708,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove,capitol hill,2017-07-01T07:00:00Z,2018-09-01T07:00:00Z
C709,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove,capitol hill,2017-07-01T07:00:00Z,2018-09-01T07:00:00Z
C710,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove,capitol hill,2017-07-01T07:00:00Z,2018-09-01T07:00:00Z
C711,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove,capitol hill,2017-07-01T07:00:00Z,2018-09-01T07:00:00Z
CR109,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-06-01T07:00:00Z,2019-12-01T08:00:00Z
CR110,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-06-01T07:00:00Z,2019-12-01T08:00:00Z
CR111,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-06-01T07:00:00Z,2019-12-01T08:00:00Z
CR113,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-06-01T07:00:00Z,2019-12-01T08:00:00Z
CR114,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-06-01T07:00:00Z,2019-12-01T08:00:00Z
CR302,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR304,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR305,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR307,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR308,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR310,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR312,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR314,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR315,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR316,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR317,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
