Bldg_Name,listing_nickname,year,rev_mo,days_booked,days_avail,occ_rate,Avg_Rev,Rev_Par
Chroma SLU,CR109,2018,2018-09-01,20,30,0.6666666666666666,168.12,112.08
Chroma SLU,CR109,2018,2018-10-01,15,31,0.4838709677419355,172.272,83.35741935483871
Chroma SLU,CR109,2018,2018-12-01,4,31,0.12903225806451613,167.6275,21.629354838709677
Chroma SLU,CR110,2018,2018-09-01,12,30,0.4,148.4908333333333,59.39633333333333
Chroma SLU,CR110,2018,2018-10-01,15,31,0.4838709677419355,154.48866666666666,74.75258064516129
Chroma SLU,CR110,2018,2018-11-01,2,30,0.06666666666666667,117.855,7.857
Chroma SLU,CR111,2018,2018-09-01,12,30,0.4,148.6525,59.461000000000006
Chroma SLU,CR111,2018,2018-10-01,11,31,0.3548387096774194,135.97636363636363,48.24967741935484
Chroma SLU,CR113,2018,2018-09-01,18,30,0.6,166.19500000000002,99.71700000000001
Chroma SLU,CR113,2018,2018-10-01,7,31,0.22580645161290322,127.76285714285713,28.849677419354833
Chroma SLU,CR114,2018,2018-06-01,5,402,0.012437810945273632,197.058,2.4509701492537315
Chroma SLU,CR114,2018,2018-08-01,2,31,0.06451612903225806,252.685,16.302258064516128
Chroma SLU,CR114,2018,2018-09-01,22,30,0.7333333333333333,178.08318181818183,130.59433333333334
Chroma SLU,CR114,2018,2018-10-01,8,31,0.25806451612903225,155.56375,40.14548387096774
Chroma SLU,CR114,2018,2018-11-01,3,30,0.1,160.04999999999998,16.005
Chroma SLU,CR302,2018,2018-05-01,15,402,0.03731343283582089,252.48466666666667,9.421069651741293
Chroma SLU,CR302,2018,2018-06-01,27,30,0.9,223.51629629629628,201.16466666666665
Chroma SLU,CR302,2018,2018-07-01,30,31,0.967741935483871,200.632,194.16
Chroma SLU,CR302,2018,2018-08-01,31,31,1,245.99677419354842,245.99677419354842
Chroma SLU,CR302,2018,2018-09-01,22,30,0.7333333333333333,193.4668181818182,141.8756666666667
Chroma SLU,CR302,2018,2018-10-01,14,31,0.45161290322580644,167.20071428571427,75.50999999999999
Chroma SLU,CR304,2018,2018-05-01,14,402,0.03482587064676617,219.90285714285716,7.658308457711444
Chroma SLU,CR304,2018,2018-06-01,24,30,0.8,222.41958333333332,177.93566666666666
Chroma SLU,CR304,2018,2018-07-01,29,31,0.9354838709677419,236.07310344827584,220.84258064516126
Chroma SLU,CR304,2018,2018-08-01,29,31,0.9354838709677419,239.01241379310343,223.5922580645161
Chroma SLU,CR304,2018,2018-09-01,22,30,0.7333333333333333,202.64,148.60266666666664
Chroma SLU,CR304,2018,2018-10-01,10,31,0.3225806451612903,188.168,60.69935483870968
Chroma SLU,CR305,2018,2018-05-01,16,402,0.03980099502487562,217.252,8.646845771144278
Chroma SLU,CR305,2018,2018-06-01,28,30,0.9333333333333333,211.75957142857143,197.64226666666667
Chroma SLU,CR305,2018,2018-07-01,28,31,0.9032258064516129,213.05107142857145,192.43322580645162
Chroma SLU,CR305,2018,2018-08-01,26,31,0.8387096774193549,241.41134615384615,202.4740322580645
Chroma SLU,CR305,2018,2018-09-01,25,30,0.8333333333333334,196.4662,163.72183333333334
Chroma SLU,CR305,2018,2018-10-01,14,31,0.45161290322580644,173.35500000000002,78.28935483870968
Chroma SLU,CR307,2018,2018-05-01,12,402,0.029850746268656716,255.37750000000003,7.623208955223881
Chroma SLU,CR307,2018,2018-06-01,25,30,0.8333333333333334,179.8626,149.8855
Chroma SLU,CR307,2018,2018-07-01,27,31,0.8709677419354839,219.93685185185186,191.55790322580646
Chroma SLU,CR307,2018,2018-08-01,30,31,0.967741935483871,221.65316666666666,214.50306451612903
Chroma SLU,CR307,2018,2018-09-01,19,30,0.6333333333333333,220.26184210526313,139.49916666666664
Chroma SLU,CR307,2018,2018-10-01,6,31,0.1935483870967742,178.73833333333334,34.59451612903226
Chroma SLU,CR308,2018,2018-05-01,16,402,0.03980099502487562,222.54291666666666,8.85742951907131
Chroma SLU,CR308,2018,2018-06-01,25,30,0.8333333333333334,227.90293333333332,189.9191111111111
Chroma SLU,CR308,2018,2018-07-01,30,31,0.967741935483871,216.35833333333332,209.3790322580645
Chroma SLU,CR308,2018,2018-08-01,30,31,0.967741935483871,248.96233333333333,240.93129032258065
Chroma SLU,CR308,2018,2018-09-01,24,30,0.8,188.5225,150.818
Chroma SLU,CR308,2018,2018-10-01,16,31,0.5161290322580645,179.299375,92.5416129032258
Chroma SLU,CR308,2018,2018-11-01,3,30,0.1,185.98000000000002,18.598000000000003
Chroma SLU,CR310,2018,2018-05-01,14,402,0.03482587064676617,225.8457142857143,7.865273631840797
Chroma SLU,CR310,2018,2018-06-01,20,30,0.6666666666666666,210.30355555555556,140.20237037037037
Chroma SLU,CR310,2018,2018-07-01,28,31,0.9032258064516129,219.6063888888889,198.3541577060932
Chroma SLU,CR310,2018,2018-08-01,8,31,0.25806451612903225,244.90625,63.20161290322581
Chroma SLU,CR310,2018,2018-09-01,20,30,0.6666666666666666,185.3925,123.595
Chroma SLU,CR310,2018,2018-10-01,5,31,0.16129032258064516,151.61399999999998,24.45387096774193
Chroma SLU,CR312,2018,2018-05-01,15,402,0.03731343283582089,226.778,8.46186567164179
Chroma SLU,CR312,2018,2018-06-01,25,30,0.8333333333333334,205.016,170.84666666666666
Chroma SLU,CR312,2018,2018-07-01,28,31,0.9032258064516129,201.66357142857143,182.14774193548388
Chroma SLU,CR312,2018,2018-08-01,28,31,0.9032258064516129,258.83535714285716,233.7867741935484
Chroma SLU,CR312,2018,2018-09-01,20,30,0.6666666666666666,185.1115,123.40766666666667
Chroma SLU,CR312,2018,2018-10-01,8,31,0.25806451612903225,169.0025,43.61354838709677
Chroma SLU,CR314,2018,2018-05-01,14,402,0.03482587064676617,160.14928571428572,5.577338308457712
Chroma SLU,CR314,2018,2018-06-01,20,30,0.6666666666666666,206.55,137.7
Chroma SLU,CR314,2018,2018-07-01,28,31,0.9032258064516129,210.63607142857146,190.251935483871
Chroma SLU,CR314,2018,2018-08-01,27,31,0.8709677419354839,253.72037037037038,220.98225806451615
Chroma SLU,CR314,2018,2018-09-01,19,30,0.6333333333333333,191.74684210526317,121.43966666666667
Chroma SLU,CR314,2018,2018-10-01,5,31,0.16129032258064516,152.75799999999998,24.63838709677419
Chroma SLU,CR315,2018,2018-05-01,17,402,0.04228855721393035,212.98568627450982,9.006857379767828
Chroma SLU,CR315,2018,2018-06-01,27,30,0.9,211.12493827160495,190.01244444444447
Chroma SLU,CR315,2018,2018-07-01,16,31,0.5161290322580645,220.3115625,113.70919354838709
Chroma SLU,CR315,2018,2018-08-01,30,31,0.967741935483871,235.63259523809523,228.03154377880185
Chroma SLU,CR315,2018,2018-09-01,25,30,0.8333333333333334,192.0606857142857,160.05057142857143
Chroma SLU,CR315,2018,2018-10-01,10,31,0.3225806451612903,181.929,58.68677419354839
Chroma SLU,CR316,2018,2018-05-01,15,402,0.03731343283582089,190.18466666666666,7.096442786069651
Chroma SLU,CR316,2018,2018-06-01,24,30,0.8,224.60041666666666,179.68033333333335
Chroma SLU,CR316,2018,2018-07-01,15,31,0.4838709677419355,255.534,123.64548387096774
Chroma SLU,CR316,2018,2018-08-01,30,31,0.967741935483871,250.65866666666668,242.57290322580647
Chroma SLU,CR316,2018,2018-09-01,25,30,0.8333333333333334,197.4352,164.52933333333334
Chroma SLU,CR316,2018,2018-10-01,18,31,0.5806451612903226,185.68916666666667,107.81951612903227
Chroma SLU,CR316,2018,2018-11-01,4,30,0.13333333333333333,200.60375,26.747166666666665
Chroma SLU,CR317,2018,2018-06-01,24,30,0.8,203.68458333333334,162.9476666666667
Chroma SLU,CR317,2018,2018-07-01,24,31,0.7741935483870968,215.158125,166.57403225806453
Chroma SLU,CR317,2018,2018-08-01,29,31,0.9354838709677419,206.94396551724137,193.59274193548384
Chroma SLU,CR317,2018,2018-09-01,25,30,0.8333333333333334,185.35314285714284,154.46095238095236
Chroma SLU,CR317,2018,2018-10-01,6,31,0.1935483870967742,175.70857142857145,34.00811059907834
Chroma SLU,CR322,2018,2018-05-01,11,402,0.02736318407960199,209.15454545454543,5.723134328358208
