listing_nickname,booked,launch_date,end_date,building,AT,rev_mo,conf,rev,status,source,year,month,BT,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort,week,weekname,weekdate
CR109,2018-10-01T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HM4ATRN8ZS,169.75,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,40,2018-09-30 00:00:00,2018-09-30T07:00:00Z
CR109,2018-10-02T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HM4ATRN8ZS,169.75,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,40,2018-09-30 00:00:00,2018-09-30T07:00:00Z
CR109,2018-10-03T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HM4ATRN8ZS,169.75,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,40,2018-09-30 00:00:00,2018-09-30T07:00:00Z
CR109,2018-10-04T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HM4ATRN8ZS,169.75,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,40,2018-09-30 00:00:00,2018-09-30T07:00:00Z
CR109,2018-10-05T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HMTTMRBD8T,178.15666666666667,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,40,2018-09-30 00:00:00,2018-09-30T07:00:00Z
CR109,2018-10-06T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HMTTMRBD8T,178.15666666666667,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,40,2018-09-30 00:00:00,2018-09-30T07:00:00Z
CR109,2018-10-07T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HMTTMRBD8T,178.15666666666667,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,41,2018-10-07 00:00:00,2018-10-07T07:00:00Z
CR109,2018-10-08T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HMTTMRBD8T,178.15666666666667,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,41,2018-10-07 00:00:00,2018-10-07T07:00:00Z
CR109,2018-10-09T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HMTTMRBD8T,178.15666666666667,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,41,2018-10-07 00:00:00,2018-10-07T07:00:00Z
CR109,2018-10-10T07:00:00Z,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma,1,2018-10-01T07:00:00Z,HMTTMRBD8T,178.15666666666667,confirmed,Airbnb,2018,10,1,Chroma SLU,"1212 Harrison St., Seattle, WA 98109.",47.62227,-122.332504,south lake union,CHROMA,41,2018-10-07 00:00:00,2018-10-07T07:00:00Z
