"","listing_nickname","booked","launch_date","end_date","building","AT","rev_mo","conf","rev","status","source","year","month","BT","Bldg_Name","Address","Latitude","Longitude","neighborhood","cohort","week","weekname","weekdate"
"1","C703",2018-01-01,2017-07-27,2018-09-30,"cove",1,2018-01-01,"HMZXZBW8HZ",134.345,"confirmed","Airbnb",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",1,"2017-12-30 23:00:00",2017-12-30 23:00:00
"2","C703",2018-01-02,2017-07-27,2018-09-30,"cove",1,2018-01-01,"HMZXZBW8HZ",134.345,"confirmed","Airbnb",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",1,"2017-12-30 23:00:00",2017-12-30 23:00:00
"3","C703",2018-01-19,2017-07-27,2018-09-30,"cove",1,2018-01-01,"HMQZZYJJ5K",133.375,"confirmed","Airbnb",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",3,"2018-01-13 23:00:00",2018-01-13 23:00:00
"4","C703",2018-01-20,2017-07-27,2018-09-30,"cove",1,2018-01-01,"HMQZZYJJ5K",133.375,"confirmed","Airbnb",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",3,"2018-01-13 23:00:00",2018-01-13 23:00:00
"5","C703",2018-01-22,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-N34j88",111.95,"confirmed","expedia",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",4,"2018-01-20 23:00:00",2018-01-20 23:00:00
"6","C703",2018-01-23,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-N34j88",111.95,"confirmed","expedia",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",4,"2018-01-20 23:00:00",2018-01-20 23:00:00
"7","C703",2018-01-24,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-N34j88",111.95,"confirmed","expedia",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",4,"2018-01-20 23:00:00",2018-01-20 23:00:00
"8","C703",2018-01-25,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-N34j88",111.95,"confirmed","expedia",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",4,"2018-01-20 23:00:00",2018-01-20 23:00:00
"9","C703",2018-01-26,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-kqEkyJ",164.05,"confirmed","booking.com",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",4,"2018-01-20 23:00:00",2018-01-20 23:00:00
"10","C703",2018-01-27,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-kqEkyJ",164.05,"confirmed","booking.com",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",4,"2018-01-20 23:00:00",2018-01-20 23:00:00
"11","C703",2018-01-28,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-kqEkyJ",164.05,"confirmed","booking.com",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",5,"2018-01-27 23:00:00",2018-01-27 23:00:00
"12","C703",2018-01-29,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-pyM4K1",98.405,"confirmed","expedia",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",5,"2018-01-27 23:00:00",2018-01-27 23:00:00
"13","C703",2018-01-30,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-pyM4K1",98.405,"confirmed","expedia",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",5,"2018-01-27 23:00:00",2018-01-27 23:00:00
"14","C703",2018-01-31,2017-07-27,2018-09-30,"cove",1,2018-01-01,"RU-mvo04E",165.15,"confirmed","booking.com",2018,1,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",5,"2018-01-27 23:00:00",2018-01-27 23:00:00
"15","C703",2018-02-01,2017-07-27,2018-09-30,"cove",1,2018-02-01,"RU-mvo04E",165.15,"confirmed","booking.com",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",5,"2018-01-27 23:00:00",2018-01-27 23:00:00
"16","C703",2018-02-02,2017-07-27,2018-09-30,"cove",1,2018-02-01,"RU-mvo04E",165.15,"confirmed","booking.com",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",5,"2018-01-27 23:00:00",2018-01-27 23:00:00
"17","C703",2018-02-03,2017-07-27,2018-09-30,"cove",1,2018-02-01,"RU-A34rDj",124.59,"confirmed","expedia",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",5,"2018-01-27 23:00:00",2018-01-27 23:00:00
"18","C703",2018-02-04,2017-07-27,2018-09-30,"cove",1,2018-02-01,"RU-A34rDj",124.59,"confirmed","expedia",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",6,"2018-02-03 23:00:00",2018-02-03 23:00:00
"19","C703",2018-02-12,2017-07-27,2018-09-30,"cove",1,2018-02-01,"HMM5AJBFMF",120.28,"confirmed","Airbnb",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",7,"2018-02-10 23:00:00",2018-02-10 23:00:00
"20","C703",2018-02-13,2017-07-27,2018-09-30,"cove",1,2018-02-01,"HMM5AJBFMF",120.28,"confirmed","Airbnb",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",7,"2018-02-10 23:00:00",2018-02-10 23:00:00
"21","C703",2018-02-14,2017-07-27,2018-09-30,"cove",1,2018-02-01,"HMM5AJBFMF",120.28,"confirmed","Airbnb",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",7,"2018-02-10 23:00:00",2018-02-10 23:00:00
"22","C703",2018-02-16,2017-07-27,2018-09-30,"cove",1,2018-02-01,"HM3BC3FWTJ",131.92,"confirmed","Airbnb",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",7,"2018-02-10 23:00:00",2018-02-10 23:00:00
"23","C703",2018-02-17,2017-07-27,2018-09-30,"cove",1,2018-02-01,"HM3BC3FWTJ",131.92,"confirmed","Airbnb",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",7,"2018-02-10 23:00:00",2018-02-10 23:00:00
"24","C703",2018-02-18,2017-07-27,2018-09-30,"cove",1,2018-02-01,"HM3BC3FWTJ",131.92,"confirmed","Airbnb",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",8,"2018-02-17 23:00:00",2018-02-17 23:00:00
"25","C703",2018-02-21,2017-07-27,2018-09-30,"cove",1,2018-02-01,"RU-1J8zyV",110.923333333333,"confirmed","expedia",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",8,"2018-02-17 23:00:00",2018-02-17 23:00:00
"26","C703",2018-02-22,2017-07-27,2018-09-30,"cove",1,2018-02-01,"RU-1J8zyV",110.923333333333,"confirmed","expedia",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",8,"2018-02-17 23:00:00",2018-02-17 23:00:00
"27","C703",2018-02-23,2017-07-27,2018-09-30,"cove",1,2018-02-01,"RU-1J8zyV",110.923333333333,"confirmed","expedia",2018,2,1,"Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30",8,"2018-02-17 23:00:00",2018-02-17 23:00:00
