cohort,weekdate,status,Rooms
CHROMA,2018-05-13T07:00:00Z,Available,210
CHROMA,2018-05-20T07:00:00Z,Available,245
CHROMA,2018-05-27T07:00:00Z,Available,245
CHROMA,2018-06-03T07:00:00Z,Available,245
CHROMA,2018-06-10T07:00:00Z,Available,257
CHROMA,2018-06-17T07:00:00Z,Available,280
CHROMA,2018-06-24T07:00:00Z,Available,280
CHROMA,2018-07-01T07:00:00Z,Available,280
CHROMA,2018-07-08T07:00:00Z,Available,280
CHROMA,2018-07-15T07:00:00Z,Available,280
CHROMA,2018-07-22T07:00:00Z,Available,280
CHROMA,2018-07-29T07:00:00Z,Available,280
CHROMA,2018-08-05T07:00:00Z,Available,280
CHROMA,2018-08-12T07:00:00Z,Available,280
CHROMA,2018-08-19T07:00:00Z,Available,280
CHROMA,2018-08-26T07:00:00Z,Available,280
CHROMA,2018-09-02T07:00:00Z,Available,280
CHROMA,2018-09-09T07:00:00Z,Available,280
CHROMA,2018-09-16T07:00:00Z,Available,280
CHROMA,2018-09-23T07:00:00Z,Available,280
CHROMA,2018-09-30T07:00:00Z,Available,280
CHROMA,2018-10-07T07:00:00Z,Available,280
CHROMA,2018-10-14T07:00:00Z,Available,280
CHROMA,2018-10-21T07:00:00Z,Available,280
CHROMA,2018-10-28T07:00:00Z,Available,280
CHROMA,2018-11-04T07:00:00Z,Available,280
CHROMA,2018-11-11T07:00:00Z,Available,280
CHROMA,2018-11-18T07:00:00Z,Available,280
CHROMA,2018-11-25T07:00:00Z,Available,280
CHROMA,2018-12-02T07:00:00Z,Available,280
CHROMA,2018-12-09T07:00:00Z,Available,280
CHROMA,2018-12-16T07:00:00Z,Available,280
CHROMA,2018-12-23T07:00:00Z,Available,280
CHROMA,2018-12-30T07:00:00Z,Available,280
MARINA,2018-01-14T07:00:00Z,Available,300
MARINA,2018-01-21T07:00:00Z,Available,350
MARINA,2018-01-28T07:00:00Z,Available,350
MARINA,2018-02-04T07:00:00Z,Available,350
MARINA,2018-02-11T07:00:00Z,Available,350
MARINA,2018-02-18T07:00:00Z,Available,350
MARINA,2018-02-25T07:00:00Z,Available,354
MARINA,2018-03-04T07:00:00Z,Available,350
MARINA,2018-03-11T07:00:00Z,Available,352
