listing_nickname,building,Bldg_Name,Address,Latitude,Longitude
E4A,bayview,Elliott Bayview,"151 John St, Seattle WA 98109.",47.6196014,-122.3537352
E4F,bayview,Elliott Bayview,"151 John St, Seattle WA 98109.",47.6196014,-122.3537352
T8D,tower,Tower 801,"801 Pine Street, Seattle, WA 98101.",47.6129715,-122.3327218
T19G,tower,Tower 801,"801 Pine Street, Seattle, WA 98101.",47.6129715,-122.3327218
V504,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963
R527,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084
M601,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
M603,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
V603,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963
V604,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963
M605,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
M615,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
M617,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
M619,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
M621,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
M623,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598
C703,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405
V703,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963
EX706,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794
EX707,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794
C708,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405
C709,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405
C710,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405
C711,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405
R712,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084
EX815,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794
EX826,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794
EX829,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794
R912,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084
VR1203,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488
VR1204,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488
VR1207,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488
VK1701,viktoria,Viktoria,"1915 2nd Ave, Seattle WA 98101.",47.6109977,-122.3412244
MS201,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503
MS202,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503
