conf,listing_nickname,booked,rev,status,source
abce4x-yyxtz3,dummy,2018-01-31,0,status,source
HMWD9EY44Q,CR109,2018-09-21,165.87,confirmed,Airbnb
HMWD9EY44Q,CR109,2018-09-22,165.87,confirmed,Airbnb
HMWD9EY44Q,CR109,2018-09-23,165.87,confirmed,Airbnb
HMJBECB8QD,CR109,2018-09-17,142.91333333333333,confirmed,Airbnb
HMJBECB8QD,CR109,2018-09-18,142.91333333333333,confirmed,Airbnb
HMJBECB8QD,CR109,2018-09-19,142.91333333333333,confirmed,Airbnb
HMTTMRBD8T,CR109,2018-10-05,178.15666666666667,confirmed,Airbnb
HMTTMRBD8T,CR109,2018-10-06,178.15666666666667,confirmed,Airbnb
HMTTMRBD8T,CR109,2018-10-07,178.15666666666667,confirmed,Airbnb
HMTTMRBD8T,CR109,2018-10-08,178.15666666666667,confirmed,Airbnb
HMTTMRBD8T,CR109,2018-10-09,178.15666666666667,confirmed,Airbnb
HMTTMRBD8T,CR109,2018-10-10,178.15666666666667,confirmed,Airbnb
rEBPw0L,CR109,2018-12-10,167.6275,reserved,manual
rEBPw0L,CR109,2018-12-11,167.6275,reserved,manual
rEBPw0L,CR109,2018-12-12,167.6275,reserved,manual
rEBPw0L,CR109,2018-12-13,167.6275,reserved,manual
RU-A3wmAl,CR109,2018-09-10,203.795,confirmed,Expedia
RU-A3wmAl,CR109,2018-09-11,203.795,confirmed,Expedia
RU-A3wmAl,CR109,2018-09-12,203.795,confirmed,Expedia
RU-A3wmAl,CR109,2018-09-13,203.795,confirmed,Expedia
HM4ATRN8ZS,CR109,2018-09-24,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-09-25,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-09-26,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-09-27,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-09-28,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-09-29,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-09-30,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-10-01,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-10-02,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-10-03,169.75,confirmed,Airbnb
HM4ATRN8ZS,CR109,2018-10-04,169.75,confirmed,Airbnb
HMWWJP8EZE,CR109,2018-09-14,144.20666666666668,confirmed,Airbnb
HMWWJP8EZE,CR109,2018-09-15,144.20666666666668,confirmed,Airbnb
HMWWJP8EZE,CR109,2018-09-16,144.20666666666668,confirmed,Airbnb
HMXFC2R5EK,CR109,2018-10-17,184.9466666666667,confirmed,Airbnb
HMXFC2R5EK,CR109,2018-10-18,184.9466666666667,confirmed,Airbnb
HMXFC2R5EK,CR109,2018-10-19,184.9466666666667,confirmed,Airbnb
HMCPKH2MMK,CR109,2018-10-12,140.65,confirmed,Airbnb
HMCPKH2MMK,CR109,2018-10-13,140.65,confirmed,Airbnb
HMRHFDNXC3,CR110,2018-10-10,116.4,confirmed,Airbnb
HMRHFDNXC3,CR110,2018-10-11,116.4,confirmed,Airbnb
HMMWCF5ABP,CR110,2018-10-12,116.4,confirmed,Airbnb
HMMWCF5ABP,CR110,2018-10-13,116.4,confirmed,Airbnb
HM2JQKDSFA,CR110,2018-11-13,117.855,confirmed,Airbnb
HM2JQKDSFA,CR110,2018-11-14,117.855,confirmed,Airbnb
HMAWBRCSRX,CR110,2018-09-30,140.65,confirmed,Airbnb
HMAWBRCSRX,CR110,2018-10-01,140.65,confirmed,Airbnb
HM4KQFWMKE,CR110,2018-09-17,154.87666666666667,confirmed,Airbnb
HM4KQFWMKE,CR110,2018-09-18,154.87666666666667,confirmed,Airbnb
HM4KQFWMKE,CR110,2018-09-19,154.87666666666667,confirmed,Airbnb
HM4KQFWMKE,CR110,2018-09-20,154.87666666666667,confirmed,Airbnb
HM4KQFWMKE,CR110,2018-09-21,154.87666666666667,confirmed,Airbnb
HM4KQFWMKE,CR110,2018-09-22,154.87666666666667,confirmed,Airbnb
HMZWQ3C3CX,CR110,2018-10-20,170.72,confirmed,Airbnb
HMZWQ3C3CX,CR110,2018-10-21,170.72,confirmed,Airbnb
HMS3S9XYHE,CR110,2018-10-03,201.76,confirmed,Airbnb
HMS3S9XYHE,CR110,2018-10-04,201.76,confirmed,Airbnb
HMB4K283P8,CR110,2018-10-08,140.65,confirmed,Airbnb
HMB4K283P8,CR110,2018-10-09,140.65,confirmed,Airbnb
HMEDJY4HY3,CR110,2018-09-28,144.045,confirmed,Airbnb
HMEDJY4HY3,CR110,2018-09-29,144.045,confirmed,Airbnb
HMHBD22BZM,CR110,2018-09-13,141.29666666666665,confirmed,Airbnb
HMHBD22BZM,CR110,2018-09-14,141.29666666666665,confirmed,Airbnb
HMHBD22BZM,CR110,2018-09-15,141.29666666666665,confirmed,Airbnb
HMDKQWRE28,CR110,2018-10-24,180.42,confirmed,Airbnb
HMDKQWRE28,CR110,2018-10-25,180.42,confirmed,Airbnb
HM3YTBQCSN,CR110,2018-10-06,161.99,confirmed,Airbnb
HM3YTBQCSN,CR110,2018-10-07,161.99,confirmed,Airbnb
HMPZZX2FS4,CR111,2018-09-26,140.65,confirmed,Airbnb
HMPZZX2FS4,CR111,2018-09-27,140.65,confirmed,Airbnb
HMH35STZAF,CR111,2018-10-15,106.7,confirmed,Airbnb
HMH35STZAF,CR111,2018-10-16,106.7,confirmed,Airbnb
HMH35STZAF,CR111,2018-10-17,106.7,confirmed,Airbnb
HMQT5HXAMQ,CR111,2018-09-28,144.045,confirmed,Airbnb
HMQT5HXAMQ,CR111,2018-09-29,144.045,confirmed,Airbnb
HM3W8JRJ4F,CR111,2018-09-21,140.65,confirmed,Airbnb
HM3W8JRJ4F,CR111,2018-09-22,140.65,confirmed,Airbnb
HMEH2WS2X4,CR111,2018-09-10,162.96,confirmed,Airbnb
HMEH2WS2X4,CR111,2018-09-11,162.96,confirmed,Airbnb
HMEH2WS2X4,CR111,2018-09-12,162.96,confirmed,Airbnb
HMEH2WS2X4,CR111,2018-09-13,162.96,confirmed,Airbnb
HMNX4PE39Y,CR111,2018-09-19,140.65,confirmed,Airbnb
HMNX4PE39Y,CR111,2018-09-20,140.65,confirmed,Airbnb
HMHDNKFRZP,CR111,2018-10-04,152.29,confirmed,Airbnb
HMHDNKFRZP,CR111,2018-10-05,152.29,confirmed,Airbnb
HM5PSJFJZR,CR111,2018-10-09,145.17666666666665,confirmed,Airbnb
HM5PSJFJZR,CR111,2018-10-10,145.17666666666665,confirmed,Airbnb
HM5PSJFJZR,CR111,2018-10-11,145.17666666666665,confirmed,Airbnb
HM5PSJFJZR,CR111,2018-10-12,145.17666666666665,confirmed,Airbnb
HM5PSJFJZR,CR111,2018-10-13,145.17666666666665,confirmed,Airbnb
HM5PSJFJZR,CR111,2018-10-14,145.17666666666665,confirmed,Airbnb
HMEMYJSFRB,CR113,2018-09-14,144.53,confirmed,Airbnb
HMEMYJSFRB,CR113,2018-09-15,144.53,confirmed,Airbnb
HMEMYJSFRB,CR113,2018-09-16,144.53,confirmed,Airbnb
HM5DPQSFCZ,CR113,2018-09-25,143.948,confirmed,Airbnb
HM5DPQSFCZ,CR113,2018-09-26,143.948,confirmed,Airbnb
HM5DPQSFCZ,CR113,2018-09-27,143.948,confirmed,Airbnb
HM5DPQSFCZ,CR113,2018-09-28,143.948,confirmed,Airbnb
HM5DPQSFCZ,CR113,2018-09-29,143.948,confirmed,Airbnb
HMWEMA8RDX,CR113,2018-10-14,111.16199999999999,confirmed,Airbnb
HMWEMA8RDX,CR113,2018-10-15,111.16199999999999,confirmed,Airbnb
HMWEMA8RDX,CR113,2018-10-16,111.16199999999999,confirmed,Airbnb
HMWEMA8RDX,CR113,2018-10-17,111.16199999999999,confirmed,Airbnb
HMWEMA8RDX,CR113,2018-10-18,111.16199999999999,confirmed,Airbnb
HMQYZR3YEK,CR113,2018-09-22,165.385,confirmed,Airbnb
HMQYZR3YEK,CR113,2018-09-23,165.385,confirmed,Airbnb
RU-O3OMVL,CR113,2018-09-10,222.62,confirmed,Expedia
RU-O3OMVL,CR113,2018-09-11,222.62,confirmed,Expedia
RU-O3OMVL,CR113,2018-09-12,222.62,confirmed,Expedia
RU-O3OMVL,CR113,2018-09-13,222.62,confirmed,Expedia
HMTWSJW8FF,CR113,2018-09-07,150.835,confirmed,Airbnb
HMTWSJW8FF,CR113,2018-09-08,150.835,confirmed,Airbnb
RU-K302zY,CR113,2018-09-19,157.63,confirmed,Expedia
RU-K302zY,CR113,2018-09-20,157.63,confirmed,Expedia
HMDREBA5RX,CR113,2018-10-03,169.265,confirmed,Airbnb
HMDREBA5RX,CR113,2018-10-04,169.265,confirmed,Airbnb
HM9R55CFYD,CR114,2018-09-13,173.24200000000002,confirmed,Airbnb
HM9R55CFYD,CR114,2018-09-14,173.24200000000002,confirmed,Airbnb
HM9R55CFYD,CR114,2018-09-15,173.24200000000002,confirmed,Airbnb
HM9R55CFYD,CR114,2018-09-16,173.24200000000002,confirmed,Airbnb
HM9R55CFYD,CR114,2018-09-17,173.24200000000002,confirmed,Airbnb
HMXP9D3KCA,CR114,2018-09-01,205.64,confirmed,Airbnb
HMXP9D3KCA,CR114,2018-09-02,205.64,confirmed,Airbnb
HMXP9D3KCA,CR114,2018-09-03,205.64,confirmed,Airbnb
HMXP9D3KCA,CR114,2018-09-04,205.64,confirmed,Airbnb
HM9QTXZJS8,CR114,2018-08-30,252.685,confirmed,Airbnb
HM9QTXZJS8,CR114,2018-08-31,252.685,confirmed,Airbnb
HMDHFNWJCZ,CR114,2018-11-19,160.04999999999998,confirmed,Airbnb
HMDHFNWJCZ,CR114,2018-11-20,160.04999999999998,confirmed,Airbnb
HMDHFNWJCZ,CR114,2018-11-21,160.04999999999998,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-03,155.56375,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-04,155.56375,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-05,155.56375,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-06,155.56375,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-07,155.56375,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-08,155.56375,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-09,155.56375,confirmed,Airbnb
HM3H8ZPJPP,CR114,2018-10-10,155.56375,confirmed,Airbnb
RU-4M1M07,CR114,2018-06-13,216.68,confirmed,Expedia
RU-4M1M07,CR114,2018-06-14,216.68,confirmed,Expedia
HM4DYCTXEM,CR114,2018-06-20,183.97666666666666,confirmed,Airbnb
HM4DYCTXEM,CR114,2018-06-21,183.97666666666666,confirmed,Airbnb
HM4DYCTXEM,CR114,2018-06-22,183.97666666666666,confirmed,Airbnb
HMNAHNJKDM,CR114,2018-09-19,161.505,confirmed,Airbnb
HMNAHNJKDM,CR114,2018-09-20,161.505,confirmed,Airbnb
HMNAHNJKDM,CR114,2018-09-21,161.505,confirmed,Airbnb
HMNAHNJKDM,CR114,2018-09-22,161.505,confirmed,Airbnb
HMWFCMY8E3,CR114,2018-09-06,174.92333333333332,confirmed,Airbnb
HMWFCMY8E3,CR114,2018-09-07,174.92333333333332,confirmed,Airbnb
HMWFCMY8E3,CR114,2018-09-08,174.92333333333332,confirmed,Airbnb
HMCZYSAC5T,CR114,2018-09-24,176.37833333333333,confirmed,Airbnb
HMCZYSAC5T,CR114,2018-09-25,176.37833333333333,confirmed,Airbnb
HMCZYSAC5T,CR114,2018-09-26,176.37833333333333,confirmed,Airbnb
HMCZYSAC5T,CR114,2018-09-27,176.37833333333333,confirmed,Airbnb
HMCZYSAC5T,CR114,2018-09-28,176.37833333333333,confirmed,Airbnb
HMCZYSAC5T,CR114,2018-09-29,176.37833333333333,confirmed,Airbnb
RU-A3BvGO,CR302,2018-09-19,147.34,confirmed,Expedia
RU-A3BvGO,CR302,2018-09-20,147.34,confirmed,Expedia
RU-Z7kYAE,CR302,2018-08-06,221.96,confirmed,Expedia
RU-vGWMXV,CR302,2018-08-20,191.76,confirmed,Expedia
RU-7PoAo8,CR302,2018-09-21,241.78,confirmed,Expedia
RU-7PoAo8,CR302,2018-09-22,241.78,confirmed,Expedia
RU-7PoAo8,CR302,2018-09-23,241.78,confirmed,Expedia
RU-vGWPr5,CR302,2018-09-10,182.985,confirmed,Expedia
RU-vGWPr5,CR302,2018-09-11,182.985,confirmed,Expedia
RU-A3BOX3,CR302,2018-08-24,197.394,confirmed,Expedia
RU-A3BOX3,CR302,2018-08-25,197.394,confirmed,Expedia
RU-A3BOX3,CR302,2018-08-26,197.394,confirmed,Expedia
RU-A3BOX3,CR302,2018-08-27,197.394,confirmed,Expedia
RU-A3BOX3,CR302,2018-08-28,197.394,confirmed,Expedia
RU-nwLkxY,CR302,2018-09-01,368.61,confirmed,Expedia
RU-7PonBB,CR302,2018-08-30,247.55,confirmed,Expedia
RU-7PonBB,CR302,2018-08-31,247.55,confirmed,Expedia
RU-M3RJJ1,CR302,2018-08-14,284.27833333333336,confirmed,Expedia
RU-M3RJJ1,CR302,2018-08-15,284.27833333333336,confirmed,Expedia
RU-M3RJJ1,CR302,2018-08-16,284.27833333333336,confirmed,Expedia
RU-M3RJJ1,CR302,2018-08-17,284.27833333333336,confirmed,Expedia
RU-M3RJJ1,CR302,2018-08-18,284.27833333333336,confirmed,Expedia
RU-M3RJJ1,CR302,2018-08-19,284.27833333333336,confirmed,Expedia
RU-J3OM4J,CR302,2018-08-23,216.68,confirmed,Expedia
RU-3LZl6p,CR302,2018-05-15,150.05,confirmed,Expedia
RU-3LZl6p,CR302,2018-05-16,150.05,confirmed,Expedia
RU-nwLG0Y,CR302,2018-09-05,186.61,confirmed,Expedia
RU-nwLG0Y,CR302,2018-09-06,186.61,confirmed,Expedia
RU-nwLG0Y,CR302,2018-09-07,186.61,confirmed,Expedia
RU-nwLG0Y,CR302,2018-09-08,186.61,confirmed,Expedia
RU-jpExjW,CR302,2018-09-02,158.17,confirmed,Expedia
RU-M3k0AP,CR302,2018-08-21,188.51,confirmed,Expedia
RU-M3k0AP,CR302,2018-08-22,188.51,confirmed,Expedia
RU-E3JlPl,CR302,2018-07-31,204.79,confirmed,Expedia
RU-oxDXEk,CR302,2018-09-24,182.8175,confirmed,Expedia
RU-oxDXEk,CR302,2018-09-25,182.8175,confirmed,Expedia
RU-oxDXEk,CR302,2018-09-26,182.8175,confirmed,Expedia
RU-oxDXEk,CR302,2018-09-27,182.8175,confirmed,Expedia
RU-pyNx1X,CR302,2018-09-18,172.42,confirmed,Expedia
RU-zM1Nry,CR302,2018-09-12,189.055,confirmed,Expedia
RU-zM1Nry,CR302,2018-09-13,189.055,confirmed,Expedia
HMX8A55WCD,CR302,2018-10-05,140.65,confirmed,Airbnb
HMX8A55WCD,CR302,2018-10-06,140.65,confirmed,Airbnb
RU-A3BKrz,CR302,2018-08-13,153.84,confirmed,Expedia
RU-X8117A,CR302,2018-10-09,170.9025,confirmed,Expedia
RU-X8117A,CR302,2018-10-10,170.9025,confirmed,Expedia
RU-X8117A,CR302,2018-10-11,170.9025,confirmed,Expedia
RU-X8117A,CR302,2018-10-12,170.9025,confirmed,Expedia
RU-X8117A,CR302,2018-10-13,170.9025,confirmed,Expedia
RU-X8117A,CR302,2018-10-14,170.9025,confirmed,Expedia
RU-X8117A,CR302,2018-10-15,170.9025,confirmed,Expedia
RU-X8117A,CR302,2018-10-16,170.9025,confirmed,Expedia
RU-90VVMZ,CR302,2018-05-18,388.178,confirmed,Expedia
RU-90VVMZ,CR302,2018-05-19,388.178,confirmed,Expedia
RU-90VVMZ,CR302,2018-05-20,388.178,confirmed,Expedia
RU-90VVMZ,CR302,2018-05-21,388.178,confirmed,Expedia
RU-90VVMZ,CR302,2018-05-22,388.178,confirmed,Expedia
RU-3LZrPx,CR302,2018-05-26,119.17,confirmed,Expedia
RU-3LZrPx,CR302,2018-05-27,119.17,confirmed,Expedia
PM5jmo1,CR302,2018-05-23,415.63,confirmed,direct
