listing_nickname,building,Bldg_Name,Address,Latitude,Longitude,launch_date,end_date
E4A,bayview,Elliott Bayview,"151 John St, Seattle WA 98109.",47.6196014,-122.3537352,2017-02-27T08:00:00Z,2018-10-31T07:00:00Z
E4F,bayview,Elliott Bayview,"151 John St, Seattle WA 98109.",47.6196014,-122.3537352,2016-10-02T07:00:00Z,2018-10-02T07:00:00Z
T8D,tower,Tower 801,"801 Pine Street, Seattle, WA 98101.",47.6129715,-122.3327218,2016-11-02T07:00:00Z,2017-10-31T07:00:00Z
T19G,tower,Tower 801,"801 Pine Street, Seattle, WA 98101.",47.6129715,-122.3327218,2016-10-31T07:00:00Z,2017-10-31T07:00:00Z
V504,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,2016-11-09T08:00:00Z,2017-12-31T08:00:00Z
R527,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084,2016-10-03T07:00:00Z,2018-10-03T07:00:00Z
M601,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2017-11-01T07:00:00Z,2018-11-01T07:00:00Z
M603,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2017-11-01T07:00:00Z,2018-11-01T07:00:00Z
V603,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,2017-02-19T08:00:00Z,2018-12-31T08:00:00Z
V604,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,2016-11-04T07:00:00Z,2018-12-31T08:00:00Z
M605,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2017-12-02T08:00:00Z,2018-11-01T07:00:00Z
M615,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2016-10-19T07:00:00Z,2018-10-19T07:00:00Z
M617,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2016-10-19T07:00:00Z,2018-10-19T07:00:00Z
M619,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2016-10-19T07:00:00Z,2018-10-19T07:00:00Z
M621,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2016-10-25T07:00:00Z,2018-10-19T07:00:00Z
M623,mark,Mark on 8th,"285 8th Ave N, Seattle WA 98109.",47.6205147,-122.3414598,2016-10-25T07:00:00Z,2018-10-19T07:00:00Z
C703,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
V703,volta,Volta,"2233 1st Ave, Seattle WA 98121.",47.6130931,-122.3465963,2016-11-04T07:00:00Z,2018-12-31T08:00:00Z
EX706,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,2017-02-02T08:00:00Z,2018-12-31T08:00:00Z
EX707,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,2017-02-01T08:00:00Z,2018-12-31T08:00:00Z
C708,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C709,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C710,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
C711,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z
R712,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084,2017-03-07T08:00:00Z,2018-12-31T08:00:00Z
EX815,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,2017-03-24T07:00:00Z,2018-12-31T08:00:00Z
EX826,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,2017-03-24T07:00:00Z,2018-12-31T08:00:00Z
EX829,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,2017-03-24T07:00:00Z,2018-12-31T08:00:00Z
R912,rollin,Rollin Street Flats,"120 Westlake Ave N, Seattle WA 98109.",47.619116,-122.338084,2016-10-12T07:00:00Z,2018-10-12T07:00:00Z
VR1203,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488,2017-01-04T08:00:00Z,2018-12-31T08:00:00Z
VR1204,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488,2016-11-30T08:00:00Z,2018-12-31T08:00:00Z
VR1207,verve,Verve,"2720 4th Ave, Seattle WA 98121.",47.618311,-122.3484488,2017-02-11T08:00:00Z,2018-12-31T08:00:00Z
VK1701,viktoria,Viktoria,"1915 2nd Ave, Seattle WA 98101.",47.6109977,-122.3412244,2017-04-10T07:00:00Z,2018-12-31T08:00:00Z
MS202,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS203,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS204,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS205,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS206,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS207,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS208,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS210,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS304,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS309,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS310,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS311,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS402,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS403,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS404,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS406,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
MS407,marina,Marina SLU,"1207 Westlake Ave N, Seattle, WA 98109.",47.6298983,-122.3416503,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z
