listing_nickname,launch_date,end_date
E4A,2/27/17,10/31/18
E4F,10/2/16,10/2/18
EX706,2/2/17,12/31/18
EX707,2/1/17,12/31/18
EX815,3/24/17,12/31/18
EX826,3/24/17,12/31/18
EX829,3/24/17,12/31/18
T8D,11/2/16,10/31/17
T8D,11/2/16,10/28/17
T19G,10/31/16,10/31/17
R527,10/3/16,10/3/18
R712,3/7/17,12/31/18
R912,10/12/16,10/12/18
V504,11/9/16,12/31/17
V603,2/19/17,12/31/18
V604,11/4/16,12/31/18
V703,11/4/16,12/31/18
VR1203,1/4/17,12/31/18
VR1204,11/30/16,12/31/18
VR1207,2/11/17,12/31/18
VK1701,4/10/17,12/31/18
C703,7/27/17,7/27/18
C708,7/27/17,7/27/18
C709,7/27/17,7/27/18
C710,7/27/17,7/27/18
C711,7/27/17,7/27/18
M615,10/19/16,10/19/18
M617,10/19/16,10/19/18
M619,10/19/16,10/19/18
M621,10/25/16,10/19/18
M623,10/25/16,10/19/18
M601,11/1/17,11/1/18
M603,11/1/17,11/1/18
M605,12/2/17,11/1/18
MS202,1/15/18,4/30/18
MS202,1/15/18,5/9/18
MS203,1/15/18,4/30/18
MS203,1/15/18,5/9/18
MS204,1/15/18,4/30/18
MS204,1/15/18,5/9/18
MS205,1/15/18,4/30/18
MS205,1/15/18,5/9/18
MS206,1/15/18,4/30/18
MS206,1/15/18,5/9/18
MS207,1/15/18,4/30/18
MS207,1/15/18,5/9/18
MS208,1/15/18,4/30/18
MS208,1/15/18,5/9/18
MS210,1/15/18,4/30/18
MS210,1/15/18,5/9/18
MS304,1/15/18,4/30/18
MS304,1/15/18,5/9/18
MS309,1/15/18,4/30/18
MS309,1/15/18,5/9/18
MS310,1/15/18,4/30/18
MS310,1/15/18,5/9/18
MS311,1/15/18,4/30/18
MS311,1/15/18,5/9/18
MS402,1/15/18,4/30/18
MS402,1/15/18,5/9/18
MS403,1/15/18,4/30/18
MS403,1/15/18,5/9/18
MS404,1/15/18,4/30/18
MS404,1/15/18,5/9/18
MS406,1/15/18,4/30/18
MS406,1/15/18,5/9/18
MS407,1/15/18,4/30/18
MS407,1/15/18,5/9/18
MS913,1/15/18,4/30/18
MS913,1/15/18,5/9/18
MS914,1/15/18,4/30/18
MS914,1/15/18,5/9/18
