listing_nickname,rev_mo,launch_date,end_date,building
test,2018-01-31,2018-01-31T08:00:00Z,2018-01-31T08:00:00Z,testdummy
C703,2017-07-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2017-08-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2017-09-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2017-10-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2017-11-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2017-12-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-01-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-02-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-03-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-04-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-05-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-06-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-07-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-08-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C703,2018-09-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2017-07-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2017-08-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2017-09-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2017-10-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2017-11-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2017-12-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-01-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-02-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-03-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-04-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-05-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-06-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-07-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C708,2018-08-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
