cohort,year,weekdate,avail,booked,occ,TotRev,ADR,RevPar,occhar,adrchar,rparchar
CHROMA,2018,2018-05-13T07:00:00Z,210,135,0.6428571428571429,31403.740174603176,232.62029758965315,149.54161987906275,64.3%,$233,$150
CHROMA,2018,2018-05-20T07:00:00Z,245,197,0.8040816326530612,50926.524825396824,258.51027830150673,207.86336663427275,80.4%,$259,$208
CHROMA,2018,2018-05-27T07:00:00Z,245,124,0.5061224489795918,19953.049464285716,160.91168922811062,81.44101822157435,50.6%,$161,$81
CHROMA,2018,2018-06-03T07:00:00Z,245,181,0.7387755102040816,35561.6625,196.47327348066298,145.14964285714285,73.9%,$196,$145
CHROMA,2018,2018-06-10T07:00:00Z,257,209,0.8132295719844358,47073.22,225.23071770334928,183.16428015564202,81.3%,$225,$183
CHROMA,2018,2018-06-17T07:00:00Z,280,181,0.6464285714285715,39862.52930555555,220.23496853898095,142.36617609126984,64.6%,$220,$142
CHROMA,2018,2018-06-24T07:00:00Z,280,199,0.7107142857142857,40790.00676984127,204.97490839116216,145.67859560657598,71.1%,$205,$146
CHROMA,2018,2018-07-01T07:00:00Z,280,161,0.575,30374.04750793651,188.6586801735187,108.47874109977325,57.5%,$189,$108
CHROMA,2018,2018-07-08T07:00:00Z,280,197,0.7035714285714286,42900.83219047619,217.77072177906695,153.21725782312924,70.4%,$218,$153
CHROMA,2018,2018-07-15T07:00:00Z,280,222,0.7928571428571428,50924.75838061938,229.39080351630352,181.87413707364064,79.3%,$229,$182
CHROMA,2018,2018-07-22T07:00:00Z,280,225,0.8035714285714286,50743.28815273615,225.5257251232718,181.22602911691484,80.4%,$226,$181
CHROMA,2018,2018-07-29T07:00:00Z,280,212,0.7571428571428571,48754.48857703408,229.97400272185885,174.1231734894074,75.7%,$230,$174
CHROMA,2018,2018-08-05T07:00:00Z,280,219,0.7821428571428571,57016.28944011544,260.3483536078331,203.62960514326943,78.2%,$260,$204
CHROMA,2018,2018-08-12T07:00:00Z,280,201,0.7178571428571429,44273.037723071044,220.26386926901017,158.11799186811086,71.8%,$220,$158
CHROMA,2018,2018-08-19T07:00:00Z,280,217,0.775,46535.273690943046,214.4482658568804,166.19740603908232,77.5%,$214,$166
CHROMA,2018,2018-08-26T07:00:00Z,280,207,0.7392857142857143,45556.99038468721,220.08207915307833,162.70353708816862,73.9%,$220,$163
CHROMA,2018,2018-09-02T07:00:00Z,280,179,0.6392857142857142,34377.291806249304,192.05190953211903,122.77604216517608,63.9%,$192,$123
CHROMA,2018,2018-09-09T07:00:00Z,280,193,0.6892857142857143,36009.801773115774,186.5792837985273,128.6064349039849,68.9%,$187,$129
CHROMA,2018,2018-09-16T07:00:00Z,280,191,0.6821428571428572,35878.18361904762,187.84389329344302,128.1363700680272,68.2%,$188,$128
CHROMA,2018,2018-09-23T07:00:00Z,280,170,0.6071428571428571,30133.967255411255,177.25863091418384,107.62131162646875,60.7%,$177,$108
CHROMA,2018,2018-09-30T07:00:00Z,280,173,0.6178571428571429,30100.877196969697,173.9935098090734,107.50313284632036,61.8%,$174,$108
CHROMA,2018,2018-10-07T07:00:00Z,280,116,0.4142857142857143,19242.33242857143,165.88217610837438,68.72261581632654,41.4%,$166,$69
CHROMA,2018,2018-10-14T07:00:00Z,280,62,0.22142857142857142,9654.572785714287,155.71891589861752,34.480617091836734,22.1%,$156,$34
