listing_nickname,year,week,weekdate,avail_days,booked_days,occ_rate,Rev,ADR,RevPar,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
C703,2017,1,2017-12-31T07:00:00Z,7,3,0.42857142857142855,432.105,144.035,61.72928571428571,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,30,2017-07-23T07:00:00Z,3,0,0,0,0,0,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,31,2017-07-30T07:00:00Z,7,2,0.2857142857142857,460,230,65.71428571428571,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,32,2017-08-06T07:00:00Z,7,6,0.8571428571428571,1628,271.3333333333333,232.57142857142856,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,33,2017-08-13T07:00:00Z,7,5,0.7142857142857143,1199,239.8,171.2857142857143,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,34,2017-08-20T07:00:00Z,7,1,0.14285714285714285,215,215,30.71428571428571,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,35,2017-08-27T07:00:00Z,7,6,0.8571428571428571,1224,204,174.85714285714286,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,36,2017-09-03T07:00:00Z,7,4,0.5714285714285714,791,197.75,113,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,37,2017-09-10T07:00:00Z,7,7,1,1188,169.71428571428572,169.71428571428572,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,38,2017-09-17T07:00:00Z,7,7,1,1188,169.71428571428572,169.71428571428572,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,39,2017-09-24T07:00:00Z,7,4,0.5714285714285714,700.1,175.025,100.0142857142857,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,40,2017-10-01T07:00:00Z,7,4,0.5714285714285714,747.55,186.8875,106.79285714285713,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,41,2017-10-08T07:00:00Z,7,6,0.8571428571428571,678.8571428571429,113.14285714285715,96.9795918367347,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,42,2017-10-15T07:00:00Z,7,6,0.8571428571428571,837.7261904761904,139.62103174603172,119.67517006802719,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,43,2017-10-22T07:00:00Z,7,7,1,1014.4166666666666,144.91666666666666,144.91666666666666,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,44,2017-10-29T07:00:00Z,7,5,0.7142857142857143,650.6132653061225,130.1226530612245,92.94475218658893,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,45,2017-11-05T07:00:00Z,7,5,0.7142857142857143,719.7832653061224,143.95665306122447,102.82618075801749,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,46,2017-11-12T07:00:00Z,7,7,1,997.7166666666667,142.53095238095239,142.53095238095239,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,47,2017-11-19T07:00:00Z,7,7,1,1168.9133333333334,166.98761904761906,166.98761904761906,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,48,2017-11-26T07:00:00Z,7,4,0.5714285714285714,447.8,111.95,63.97142857142857,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,49,2017-12-03T07:00:00Z,7,5,0.7142857142857143,554.27,110.854,79.18142857142857,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,50,2017-12-10T07:00:00Z,7,5,0.7142857142857143,629.1500000000001,125.83000000000001,89.87857142857143,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,51,2017-12-17T07:00:00Z,7,4,0.5714285714285714,552.7,138.175,78.95714285714286,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,52,2017-12-24T07:00:00Z,7,5,0.7142857142857143,713.175,142.635,101.88214285714285,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,2,2018-01-07T07:00:00Z,7,0,0,0,0,0,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,3,2018-01-14T07:00:00Z,7,2,0.2857142857142857,266.75,133.375,38.107142857142854,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,4,2018-01-21T07:00:00Z,7,6,0.8571428571428571,775.9,129.31666666666666,110.84285714285713,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,5,2018-01-28T07:00:00Z,7,7,1,980.9,140.12857142857143,140.12857142857143,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
