"listing_nickname","year","week","weekdate","avail_days","booked_days","occ_rate","Rev","ADR","RevPar","building","Bldg_Name","Address","Latitude","Longitude","neighborhood","cohort"
"C703",2017,1,2017-12-30 23:00:00,7,3,0.428571428571429,432.105,144.035,61.7292857142857,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,30,2017-07-23 00:00:00,3,0,0,0,0,0,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,31,2017-07-30 00:00:00,7,2,0.285714285714286,460,230,65.7142857142857,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,32,2017-08-06 00:00:00,7,6,0.857142857142857,1628,271.333333333333,232.571428571429,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,33,2017-08-13 00:00:00,7,5,0.714285714285714,1199,239.8,171.285714285714,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,34,2017-08-20 00:00:00,7,1,0.142857142857143,215,215,30.7142857142857,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,35,2017-08-27 00:00:00,7,6,0.857142857142857,1224,204,174.857142857143,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,36,2017-09-03 00:00:00,7,4,0.571428571428571,791,197.75,113,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,37,2017-09-10 00:00:00,7,7,1,1188,169.714285714286,169.714285714286,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,38,2017-09-17 00:00:00,7,7,1,1188,169.714285714286,169.714285714286,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,39,2017-09-24 00:00:00,7,4,0.571428571428571,700.1,175.025,100.014285714286,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,40,2017-10-01 00:00:00,7,4,0.571428571428571,747.55,186.8875,106.792857142857,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,41,2017-10-08 00:00:00,7,6,0.857142857142857,678.857142857143,113.142857142857,96.9795918367347,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,42,2017-10-15 00:00:00,7,6,0.857142857142857,837.72619047619,139.621031746032,119.675170068027,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,43,2017-10-22 00:00:00,7,7,1,1014.41666666667,144.916666666667,144.916666666667,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,44,2017-10-29 00:00:00,7,5,0.714285714285714,650.613265306122,130.122653061224,92.9447521865889,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,45,2017-11-05 00:00:00,7,5,0.714285714285714,719.783265306122,143.956653061224,102.826180758017,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,46,2017-11-11 23:00:00,7,7,1,997.716666666667,142.530952380952,142.530952380952,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,47,2017-11-18 23:00:00,7,7,1,1168.91333333333,166.987619047619,166.987619047619,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,48,2017-11-25 23:00:00,7,4,0.571428571428571,447.8,111.95,63.9714285714286,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,49,2017-12-02 23:00:00,7,5,0.714285714285714,554.27,110.854,79.1814285714286,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
"C703",2017,50,2017-12-09 23:00:00,7,5,0.714285714285714,629.15,125.83,89.8785714285714,"cove","Cove","601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,"capitol hill","OG30"
